"name"	"point"	"route_str"
"Hard samurai"	"800"	"tower_platform,banana_ramp,t2_left_wing,t2_right_wing,section_slant,gun_room"
"Virtuoso"	"800"	"t_spawn,main_ramp,main_drag,gun_room_ramp,gun_room"
"Blue Partyhat Remix"	"800"	"bonus_platform,sriracha,triomino2,triomino1,t2_right_wing,t2_left_wing,main_ramp,behind_main_ramp_trigger,triomino2,triomino1,main_ramp,ct_spawn_hole_front,ct_spawn_hole_back,behind_spawn,gun_room"
"Hard Main to Sign from Jail v2"	"800"	"jail_floor_02,main_ramp,through_t2_front_right,through_t2_back_right,t2_right_wing,t2_left_wing,t2_right_wing,ski_sign"
"Bambi"	"800"	"jail_floor_02,main_ramp,t2_left_wing,keith_ramp,kevin_ramp,starlight"
"Smooth tour"	"800"	"tower_platform,banana_ramp,main_blunt_ramp,triomino2,long_ramp,healbot_sign"
"Overcoming confusion"	"800"	"jail_floor_02,main_ramp,t2_left_wing,through_t2_back_left,through_t2_front_left,t2_left_wing,awp_platform"
"Bashnya Insanity Drop"	"800"	"t1_bashnya,ct_spawn_slant,spawn_divide,t_spawn"
"Triple main to sign"	"800"	"jail_floor_02,main_ramp,ski_sign,main_blunt_ramp,ski_sign,main_blunt_ramp,ski_sign"
"Alpha"	"800"	"tower_platform,tower_middle_ramp,triomino2,t1_middle_hole,t1_middle_ramp_lower,long_ramp,nlo_platform"
"Sunrise Enjoyer"	"800"	"section_ramp_tip,section_slant,long_ramp,w_bezdna_lower_ramp,long_ramp,t2_tower_platform"
"Hardest jail escape"	"800"	"jail_floor_02,main_ramp,main_drag,gun_room_ramp,gun_room_sign"
"Combineer"	"800"	"jail_floor_02,main_ramp,ground_teleporter,jail_floor_02,t_spawn_slant,t_spawn_hole,hamburger"
"Trophy Hunter"	"800"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,through_t2_tower,behind_t2_tower_wedge,long_ramp,side_spawn_platform"
"BlitzCannon"	"800"	"spawn_roof_water,main_ramp,long_ramp,fish_ramp,fish_hook_wedge,elevator_mid_entrance"
"Little Gap"	"800"	"t2_floor,main_ramp,spine_ramp_1"
"HNS Wet Dream V2"	"800"	"top_floor,spine_ramp_1,spine_ramp_2,spine_ramp_2,spine_ramp_1,top_floor"
"Ark"	"800"	"pillar_floor,footlight_ramp,main_ramp,t2_floor"
"Morning Nightmare"	"800"	"jail_floor_02,main_ramp,middle_wing,left_wedge,fish_hook_wedge,awp_ramp,fish_ramp,fish_hook_wedge,elevator_mid_tip"
"Hard Turtle Spin"	"800"	"tower_run_up_w,ground_ramp,ground_ramp_reverse,tower_lower_box_2"
"Princess Escape"	"800"	"tower_middle_plarform,tower_middle_ramp,left_wedge,fish_hook_wedge,throw_middle_awp"
"Power of creation"	"800"	"long_ramp_slant,long_ramp,t1_middle_hole"
"Perfume"	"800"	"prison_floor,sausage_ramp,t2_through,turtle_floor"
"The Unknown"	"800"	"t2_floor,t2_wing,sausage_ramp,funnel_floor"
"Cucumber"	"800"	"spine_platform,fish_ramp,footlight_ramp,flat_ramp,sausage_ramp,t2_through,t2_high_water"
"Funkeh"	"800"	"t_spawn_hole_front,t_spawn_hole_back,ct_spawn_hole_back,ct_spawn_hole_front"
"BloodMommy"	"800"	"main_ramp,behind_main_ramp_trigger,tower_middle_plarform"
"Bleanch"	"800"	"fish_booster_bigger,t2_left_wing,telepad_t2_t1_ramp,t1_middle_hole,t1_middle_ramp_lower,ground_ramp_reverse,awp_tower_tip"
"Hard Oldrin"	"800"	"fish_booster_bigger,main_ramp,behind_main_ramp_trigger,ground_ramp_reverse,awp_platform"
"Riki Tiki"	"800"	"fish_booster_middle,throw_middle_awp,under_blunt,t2_center_down_ramp,t2_big_water_ramp,right_wedge,t2_right_wing,tower_box"
"Avocado"	"800"	"fish_booster_middle,throw_middle_awp,fish_ramp,long_ramp,ring,triomino2,t2_right_box_2"
"Zolomon from spawn"	"825"	"t_spawn,main_ramp,main_ramp,t_spawn_hole_front,gun_room"
"Smug"	"825"	"bonus_platform,sriracha,t2_tower_platform"
"Fish Fly"	"825"	"elevator_exit,tower_platform,halisha_throne_upper,tower_top"
"Hard Facade"	"850"	"jail_wall_02,rear_spawn_ramp,main_ramp,through_t2_front_right,through_t2_back_right,behind_t2_tower_wedge,fish_ramp,fish_hook_wedge,elevator_mid_entrance"
"Super noodles"	"850"	"awp_platform,triomino1,fish_hook_wedge,fish_ramp,behind_t2_tower_wedge,north_east_booster_platform"
"Forgot my P90"	"850"	"gun_room,main_drag,main_wings,main_ramp,rear_spawn_ramp,ct_spawn_teleporter"
"Fuzzaroonie"	"850"	"ct_spawn,main_ramp,t2_left_wing"
"Hard Nuts"	"850"	"tower_platform,banana_ramp,main_drag,through_t2_tower,fish_ramp,jail_wall_02"
"Alternative"	"850"	"awp_platform,awp_ramp,triomino2,middle_wing,main_blunt_ramp,right_wedge,long_ramp,gun_room"
"Left alone"	"850"	"gun_room,gun_room_ramp,through_t2_tower,under_t2_left_wing,through_t2_front_left,t2_big_hole_left,t2_big_hole_left_platform,main_drag,gun_room_ramp"
"Mario flight"	"850"	"tower_top,tower_middle_ramp,mario_room_teleport"
"Wrath King"	"850"	"long_ramp_slant,kevin_ramp,keith_ramp,t2_left_hole"
"Super Sonic"	"850"	"gun_room,gun_room_ramp,through_t2_tower,triomino1,triomino2,ring,jail_wall_02"
"Hard AWP but Spawn Rise"	"850"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,through_t2_tower,t2_center_down_ramp,under_blunt,main_ramp,spawn_divide_top"
"Fucking British"	"850"	"tower_platform,banana_ramp,hamburger,mini_ramp02,bonus_rear_slant"
"CatWalk"	"850"	"jail_wall_02,main_ramp,middle_wing,left_wedge,banana_ramp,t2_tower_platform"
"Airwalk"	"850"	"top_platforrn,main_ramp,strafes_fall,strafes_platform,main_ramp,sky_west"
"Azkaban Prisoner"	"850"	"prison,prison_through,crew_ramp,flat_ramp,cage_side_ramp,brow_ramp,sausage_ramp,prison"
"To the MOON Remix"	"850"	"tower_base_water,fish_hook_wedge,behind_mario_tower,bonus_cube"
"Soft boiled egg"	"900"	"t2_left_window_platform,main_drag,main_wings,main_blunt_ramp,right_wedge,long_ramp,telepad_box_3"
"Ryuko Rise"	"900"	"healbot_sign,t2_left_wing,main_blunt_ramp,t2_right_wing,t2_tower_platform"
"Spuds Rise"	"900"	"mini_ramp_spine,mini_ramp02,sriracha,main_ramp,t2_left_wing,healbot_platform"
"High Banana Return"	"900"	"tower_top,banana_ramp,banana_ramp,tower_top"
"Boggy Rise"	"900"	"mini_ramp_spine,mini_ramp02,sriracha,triomino2,t2_tower_platform"
"Hardest left right"	"900"	"awp_platform,triomino1,fish_hook_wedge,triomino1,fish_hook_wedge,awp_ramp,behind_t2_tower_wedge"
"Flight"	"900"	"kevin_ramp_tip,kevin_ramp,keith_ramp,awp_ramp,tower_run_up_w"
"Hard Super Noodles"	"900"	"awp_platform,triomino1,fish_hook_wedge,fish_ramp,north_east_booster_platform"
"Avalanche"	"900"	"jail_floor_02,main_ramp,triomino1,awp_platform"
"Exu gay trick"	"900"	"gun_room,gun_room_ramp,through_t2_tower,triomino1,triomino2,t_spawn"
"Nigxus amazing adventure"	"900"	"mini_ramp_spine,mini_ramp02,sriracha,section_ramp,t2_right_hole,through_t2_back_right,behind_t2_tower_wedge,fish_ramp,fish_hook_wedge,left_wedge,middle_wing,main_blunt_ramp,ski_sign"
"Triple Snowman gap"	"900"	"jail_floor_02,main_ramp,main_ramp,t_spawn_water,main_ramp,main_ramp,t_spawn_water,main_ramp,main_ramp,t_spawn_water"
"From hole to hole"	"900"	"jail_floor_02,main_ramp,t2_left_wing,through_t2_back_left,t2_left_hole,t2_right_hole"
"Longest Stretch"	"900"	"jail_floor_02,main_ramp,fish_hook_wedge"
"Impossible Monke flip"	"900"	"telepad_derevo,telepad_derevo,telepad_derevo,telepad_box_3,long_ramp"
"Behind magnifier"	"900"	"jail_floor_02,main_ramp,main_blunt_ramp,through_t2_front_left,through_t2_back_left,t2_left_wing,t2_tower_platform"
"Real human being"	"900"	"t_spawn,main_ramp,main_drag,t2_left_window,through_t2_back_left,t2_left_wing"
"Hardest Zyzz"	"900"	"diddy_platform,banana_ramp,jail_ledge02"
"Hard Cyclone V2"	"900"	"jail_floor_02,main_ramp,triomino1,under_awp,awp_ramp,t2_big_hole_left"
"AWP Rise to sign"	"900"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,through_t2_tower,fish_ramp,awp_platform,fish_ramp,through_t2_back_right,through_t2_front_right,ski_sign"
"Box trip"	"900"	"behind_t2_tower_wedge_t,behind_t2_tower_wedge,fish_ramp,awp_ramp,triomino1,triomino2,middle_wing,main_blunt_ramp,right_wedge,long_ramp,telepad_box_2"
"Triple AWP RIse"	"900"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,through_t2_tower,fish_ramp,awp_platform,fish_ramp,awp_platform,fish_ramp,awp_platform"
"Lord of Ring"	"900"	"t_spawn,rear_spawn_ramp,main_ramp,main_blunt_ramp,triomino2,ring"
"Wrath Band"	"900"	"long_ramp_slant,kevin_ramp,keith_ramp,healbot_platform"
"Batmobile"	"900"	"healbot_platform,healbot_ramp,keith_ramp,t2_right_wing,right_wedge,main_ramp,spawn_roof_water"
"Titan Gap"	"900"	"jail_floor_02,rear_spawn_ramp,middle_wing,t2_left_wing"
"Travis Cock"	"900"	"section_ramp_tip,section_slant,right_wedge,main_blunt_ramp,awp_platform"
"Hurricane"	"900"	"awp_platform,triomino1,under_awp,triomino1"
"Corner Abuser"	"900"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,through_t2_tower,behind_t2_tower_wedge,through_t2_back_right,through_t2_front_right,ski_sign"
"Reverse To Impossible"	"900"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,main_ramp,behind_spawn,main_ramp,t2_tower_platform"
"2c00L4Y0u"	"900"	"jail_wall_02,main_ramp,middle_wing,left_wedge,awp_ramp,main_drag,ski_sign"
"Strafeshock"	"900"	"tower_top,triomino2,awp_platform"
"Jail to side hole route"	"900"	"jail_floor_02,main_ramp,awp_ramp,fish_ramp,behind_t2_tower_wedge,long_ramp,t1_middle_hole"
"Yoshis insanity"	"900"	"jail_floor_02,main_ramp,awp_ramp,ground_ramp,fish_hook_wedge,awp_ramp,t2_left_wing,ski_sign"
"Dirokol"	"900"	"turtle_big_floor,turtle_small_ramp_2,snorkel_right_ramp,snorkel_left_ramp,t2_hole"
"See Me Again"	"900"	"funnel_floor,corner_ramp,sausage_ramp,t2_hole"
"A trick Whis cant do"	"900"	"fish_booster_bigger,t2_left_wing,ring,triomino2,ring,rear_spawn_ramp,mario_room_teleport"
"Yti Puti Hard"	"900"	"fish_booster_bigger,left_wedge,ring,ramp_horn,rear_spawn_ramp,ring,triomino1,t2_tower_platform"
"Blindfolded"	"900"	"behind_t2_tower_wedge,through_t2_front_right,through_t2_back_right,through_t2_back_left,through_t2_front_left,t2_tower_platform"
"Mayweather"	"925"	"jail_floor_02,main_ramp,sriracha,t_spawn_hole_front,gun_room"
"Explosive Madness"	"925"	"kevin_ramp_tip,kevin_ramp,keith_ramp,healbot_ramp,main_drag,t2_left_window,through_t2_back_left,t2_left_wing,ski_sign"
"Sunrise"	"950"	"jail_floor_02,main_ramp,t2_left_wing,t2_right_wing,main_ramp,telepad,long_ramp,t2_tower_platform"
"luckY Deluxe"	"950"	"jail_floor_02,main_ramp,awp_ramp,triomino2,middle_wing,main_drag,through_t2_tower,t2_right_wing,main_blunt_ramp,middle_wing,right_wedge,t2_right_wing,healbot_platform"
"Hard lupkes"	"950"	"jail_floor_02,main_ramp,sriracha,t1_right_platform"
"KingWs Insanity"	"950"	"jail_floor_02,main_ramp,awp_ramp,left_wedge,main_blunt_ramp,ski_sign"
"h4bkiller"	"950"	"mini_ramp_spine,mini_ramp02,sriracha,long_ramp,t2_left_box_2,awp_platform"
"Vertex remix"	"950"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,t2_right_wing,awp_ramp,awp_platform"
"Nonull "	"950"	"diddy_platform,fish_ramp"
"Easy Steve is Crippled"	"950"	"left_wedge_tip,left_wedge,triomino2,triomino1,triomino1,triomino2,middle_wing,main_wings,main_drag,through_t2_tower,fish_ramp,fish_hook_wedge,left_wedge,main_blunt_ramp,ski_sign"
"LeciCe"	"950"	"grob_booster,right_wedge,healbot_sign"
"Insane Facade"	"1000"	"jail_floor_02,rear_spawn_ramp,main_ramp,through_t2_front_right,through_t2_back_right,behind_t2_tower_wedge,fish_ramp,fish_hook_wedge,elevator_mid_entrance"
"Exus Gingivitis"	"1000"	"ski_sign,t2_left_wing,behind_t2_tower_wedge,long_ramp,gun_room"
"Bogroll wrap"	"1000"	"awp_platform,triomino1,triomino2,left_wedge,behind_mario_tower,left_wedge"
"From Rochdale to Ocho Rios"	"1000"	"tower_platform,fish_hook_wedge,fish_ramp,t2_tower_platform"
"High lupkes"	"1000"	"jail_floor_02,main_ramp,sriracha,spawn_roof_water"
"Hard Reverse Jail Escape"	"1000"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,main_ramp,jail_ledge02"
"Hard Vampire Diaries"	"1000"	"long_ramp_slant,kevin_ramp,t2_right_wing,right_wedge,main_ramp,spawn_roof_platform"
"1dayumay"	"1000"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,main_blunt_ramp,t2_left_box_2"
"GordanC_h"	"1000"	"jail_box_4,main_ramp,behind_t2_tower_wedge,fish_ramp,awp_ramp,t2_left_wing,t2_right_hole"
"Get rampstrafin"	"1000"	"awp_platform,triomino1,main_wings,main_drag,t2_right_wing"
"Symphony no. 8"	"1000"	"jail_floor_02,main_ramp,main_ramp,behind_main_ramp_trigger,rear_spawn_ramp,left_wedge"
"Dzhans rise to Wall"	"1000"	"jail_floor_02,main_ramp,ground_teleporter,jail_floor_02,triomino2,jail_wall_02"
"Pudge Rise"	"1000"	"t2_center_platform,through_t2_tower,behind_t2_tower_wedge,fish_ramp,awp_ramp,t2_left_wing"
"Good riddance"	"1000"	"section_ramp_tip,section_slant,starlight,keith_ramp"
"BaNachinklolol"	"1000"	"tower_top,banana_ramp,right_wedge,main_ramp,behind_main_ramp_trigger,rear_spawn_ramp,long_ramp,nlo_platform"
"High banana return V2"	"1000"	"tower_top,banana_ramp,section_ramp,banana_ramp,tower_top"
"Flower of evil"	"1000"	"t2_tower_platform,long_ramp,t2_spawn_teleporter,main_drag,t2_left_window,through_t2_back_left,t2_left_wing"
"x5 Spawn Wrap from spawn "	"1000"	"t_spawn,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp"
"Hard Nigxu rise"	"1000"	"t_spawn,main_ramp,main_ramp,t1_right_rail"
"Derevo return"	"1000"	"telepad_derevo,telepad_t2_t1_ramp,telepad_jtct_ramp,telepad_jtct_ramp,telepad_t2_t1_ramp,telepad_derevo"
"Alaska"	"1000"	"t2_left_box_2,healbot_ramp,healbot_ramp,main_drag,t2_left_window,through_t2_back_left,t2_left_wing,ski_sign"
"DEKADANS"	"1000"	"nlo_platform,long_ramp,w_bezdna_lower_ramp,behind_spawn,main_ramp,t2_right_wing,t2_left_wing,awp_platform"
"p0n05"	"1000"	"long_ramp_slant,kevin_ramp,t2_right_wing,right_wedge,main_ramp,t_spawn_slant,spawn_roof_water"
"f0cUS"	"1000"	"mini_ramp_spine,w_bezdna_lower_ramp,t1_middle_hole,t1_middle_ramp_lower,rear_spawn_ramp,j_teleporter"
"It never ends"	"1000"	"t2_left_box_2,t2_left_wing,awp_ramp,fish_hook_wedge,triomino1,t2_left_wing,ski_sign"
"Zetsuen"	"1000"	"t2_tower_platform,t2_left_wing,main_ramp,t1_left_platform"
"DiRT Rally"	"1000"	"t_spawn,main_ramp,middle_wing,ground_ramp,left_wedge,middle_wing,main_ramp,t_spawn"
"Mini Rise"	"1000"	"healbot_platform,t2_left_wing,main_blunt_ramp,ski_sign"
"Another strafe"	"1000"	"t2_tower_platform,long_ramp,telepad_t2_t1_ramp,side_spawn_lower_platform"
"Blame me"	"1000"	"jail_floor_02,sriracha,triomino2,elevator_mid_tip"
"AWP Rise from jail floor"	"1000"	"jail_floor_02,main_ramp,fish_ramp,awp_platform"
"Tritskhy"	"1000"	"jail_floor_02,main_ramp,t2_right_wing,t2_left_wing,main_blunt_ramp,right_wedge,t2_right_wing,long_ramp,main_blunt_ramp,fish_hook_wedge"
"Rollin tuna"	"1000"	"behind_t2_tower_wedge_t,behind_t2_tower_wedge,fish_ramp,awp_ramp,triomino1,triomino2,middle_wing,middle_wing,triomino2,triomino1,awp_ramp,triomino1,triomino2,left_wedge,triomino2,triomino1,awp_ramp,triomino1,triomino2,middle_wing,center_wedge_platform"
"Mirrors Edge"	"1000"	"spawn_roof_water,main_ramp,under_blunt,t2_center_down_ramp,throw_middle_awp"
"Easy Peasy"	"1000"	"awp_tower_tip,triomino1,middle_awp_platform"
"Monkey Business"	"1000"	"telepad_derevo,telepad_t2_t1_ramp,w_bezdna_lower_ramp,telepad_box_3"
"Generic Hard trick"	"1000"	"long_ramp_slant,north_east_ramp,fish_ramp,fish_hook_wedge,elevator_mid_tip"
"Way Out "	"1000"	"turtle_big_floor,turtle_small_ramp_2,turtle_ramp,turtle_big_ramp,turtle_small_ramp_2,a_ramp"
"Chmo Rise"	"1000"	"fish_booster,awp_ramp,main_blunt_ramp,ski_sign"
"BloodMommy v2"	"1000"	"main_ramp,behind_main_ramp_trigger,mario_room_teleport"
"Tsunami"	"1000"	"fish_booster,awp_ramp,throw_middle_awp,fish_hook_wedge,behind_mario_tower,left_wedge"
"Jeweler"	"1000"	"turtle_boost,corner_ramp,t2_through,t2_wing,prison_floor"
"Gooseberry"	"1000"	"t2_boost,t2_wing,main_ramp,tower_platform"
"Pitbulls Euphoria"	"1050"	"t2_tower_platform,awp_ramp,fish_ramp,behind_t2_tower_wedge,fish_ramp,awp_ramp,t2_left_wing,ski_sign"
"Hard exu Rise"	"1050"	"mini_ramp_spine,mini_ramp02,sriracha,long_ramp,healbot_platform,triomino1,triomino2,ski_sign"
"Harder lupkes"	"1050"	"jail_floor_02,main_ramp,sriracha,t1_right_rail"
"Wedges all day"	"1050"	"mini_ramp_spine,mini_ramp02,rear_spawn_ramp,middle_wing,right_wedge,behind_t2_tower_wedge,awp_ramp,fish_hook_wedge,left_wedge,middle_wing,t2_left_wing,behind_t2_tower_wedge,t2_right_wing,ski_sign"
"WTV yawspeed"	"1050"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,t2_right_wing,t2_left_wing,main_ramp,jail_floor_02"
"Rapunzel"	"1050"	"bonus_platform,sriracha,hamburger,middle_wing,main_blunt_ramp,t2_right_wing,triomino1,triomino2,ring,main_ramp,jail_box_2"
"Twisted Fate"	"1050"	"tower_platform,banana_ramp,banana_ramp,behind_mario_tower,banana_ramp,jail_floor_02"
"Strafe Samurai"	"1050"	"t2_tower_platform,long_ramp,w_bezdna_lower_ramp,side_spawn_platform"
"Insane left right"	"1050"	"awp_platform,triomino1,fish_hook_wedge,triomino1,fish_hook_wedge,awp_ramp,fish_ramp_tip"
"Flawless"	"1050"	"t2_left_box_2,t2_left_wing,triomino1,triomino2,elevator_mid_entrance"
"Ufokinwotm8"	"1050"	"hamburger_slant,hamburger,hamburger,main_ramp,behind_t2_tower_wedge,fish_ramp,fish_hook_wedge,left_wedge,middle_wing,main_blunt_ramp,healbot_ramp"
"Bronze Walk"	"1050"	"ct_spawn,main_ramp,middle_wing,left_wedge,fish_hook_wedge,awp_ramp,triomino2,middle_wing,main_blunt_ramp,right_wedge,long_ramp,side_spawn_ladder"
"UFO"	"1050"	"awp_platform,triomino1,fish_hook_wedge,tower_sign"
"Advanced Flevin Rise"	"1050"	"tower_platform,banana_ramp,right_wedge,behind_long_ramp,long_ramp,rear_spawn_ramp,triomino2,t2_right_wing,t2_left_wing,main_ramp,jail_floor_02"
"Kings wall to Reverse sign"	"1050"	"jail_wall_02,main_ramp,middle_wing,left_wedge,fish_ramp,through_t2_back_right,through_t2_front_right,ski_sign"
"Fur Elise"	"1050"	"tower_platform,faucet_ramp,turtle_big_ramp,t2_through,t2_wing,turtle_big_floor"
"No Pain No Gain"	"1050"	"t2_floor,main_ramp,main_ramp,t2_floor"
"Hard Prisoner Escape"	"1050"	"prison_floor,corner_ramp,b_ramp,pathetic_ramp,t2_wing"
"Bullseye from jail floor"	"1075"	"jail_floor_02,main_ramp,main_ramp,ct_spawn_hole_front,ct_spawn_hole_back,behind_spawn,gun_room"
"Strafe goddess"	"1075"	"t2_tower_platform,long_ramp,gun_room"
"Psycho Walk"	"1075"	"awp_platform,triomino1,triomino2,middle_wing,main_blunt_ramp,right_wedge,long_ramp,w_bezdna_lower_ramp,rear_spawn_ramp,main_ramp,middle_wing,triomino2,triomino1,awp_ramp,triomino2,tower_sign"
"Wrap Rise"	"1100"	"jail_floor_02,main_ramp,main_ramp,behind_spawn,main_ramp,ski_sign"
"Golden partyhat"	"1100"	"bonus_platform,sriracha,triomino2,triomino1,t2_right_wing,t2_left_wing,main_ramp,behind_main_ramp_trigger,triomino2,triomino1,main_ramp,jail_floor_02"
"Hard trip to Healbot"	"1100"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,t2_right_wing,healbot_platform"
"Rapture"	"1100"	"bonus_platform,sriracha,long_ramp,triomino2,spawn_roof_platform"
"Pitbull Rise"	"1100"	"mini_ramp_spine,mini_ramp02,sriracha,long_ramp,t2_right_wing,banana_ramp,triomino2,triomino1,ski_sign"
"Echo"	"1100"	"mini_ramp_spine,mini_ramp02,hamburger,sriracha,long_ramp,healbot_platform"
"Fuzzaroonie to sign"	"1100"	"ct_spawn,main_ramp,t2_left_wing,ski_sign"
"Bogroll wrap remix"	"1100"	"awp_platform,triomino1,triomino2,left_wedge,triomino2,left_wedge,behind_mario_tower,left_wedge"
"Aurora"	"1100"	"tower_platform,banana_ramp,main_blunt_ramp,rear_spawn_ramp,sriracha,jail_box_1"
"Cool to T2 "	"1100"	"spawn_roof_water,main_ramp,right_wedge,t2_right_wing,t2_tower_platform"
"Pudge Return"	"1100"	"t2_center_platform,through_t2_tower,behind_t2_tower_wedge,fish_ramp,awp_ramp,
t2_big_hole_left,t2_left_window,t2_left_window"
"Reversed Main To Sign"	"1100"	"jail_floor_02,main_ramp,behind_t2_tower_wedge,through_t2_back_right,through_t2_front_right,ski_sign"
"Exceptionally Flawless"	"1100"	"healbot_platform,t2_left_wing,triomino2,elevator_mid_tip"
"Trojan Carrot"	"1100"	"bonus_platform,sriracha,tower_middle_ramp,banana_ramp,sriracha,jail_floor_02"
"Through The Space And Time"	"1100"	"spawn_roof_water,main_ramp,under_blunt,t2_center_down_ramp,
t2_big_hole_left,t2_left_window,t2_right_window,t2_big_hole_right,ground_teleporter"
"Spellbound"	"1100"	"awp_tower_tip,triomino1,triomino2,left_wedge,fish_hook_wedge,awp_ramp,throw_middle_awp"
"Darkness Surrounds"	"1100"	"awp_tower_tip,triomino1,triomino2,t1_bezdna"
"Sickness"	"1100"	"turtle_floor,turtle_stump,faucet_under_ramp,lain_ramp"
"Artur"	"1100"	"strafes_platform,spine_ramp_1,top_ramp_tip"
"Hard Strafe"	"1100"	"t2_floor,t2_wing,turtle_floor"
"Sad Return"	"1100"	"turtle_boost,t2_high_water,turtle_boost"
"Anime return to box"	"1125"	"tower_top,banana_ramp,banana_ramp,banana_hole,tower_box1"
"Harder Rapunzel"	"1125"	"bonus_platform,sriracha,hamburger,middle_wing,main_blunt_ramp,t2_right_wing,triomino1,triomino2,ring,main_ramp,jail_ledge02"
"Hard exu walk"	"1150"	"ski_sign,main_drag,main_wings,middle_wing,left_wedge,fish_hook_wedge,awp_ramp,triomino2,middle_wing,main_blunt_ramp,right_wedge,t2_right_wing,fish_ramp,awp_ramp,triomino1,triomino2,middle_wing,main_blunt_ramp"
"Ocho Rios Return"	"1150"	"tower_platform,fish_hook_wedge,fish_ramp,t2_tower_platform,main_blunt_ramp,t2_tower_platform"
"Reverb to rail"	"1150"	"t_spawn,main_ramp,middle_wing,left_wedge,fish_hook_wedge,fish_ramp,behind_t2_tower_wedge,right_wedge,main_ramp,t1_right_rail"
"NewTrigger"	"1150"	"spawn_roof_water,main_ramp,triomino2,elevator_mid_tip"
"Rat waltz"	"1150"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,through_t2_tower,fish_ramp,awp_platform,fish_ramp,through_t2_back_right,through_t2_front_right,ski_sign,t2_left_wing,t2_right_wing,t2_left_wing,t2_tower_platform"
"Flow"	"1150"	"jail_floor_02,main_ramp,sriracha,section_ramp,section_ramp,t2_tower_platform"
"GT 5000"	"1150"	"tower_platform,banana_ramp,main_blunt_ramp,fish_ramp,fish_hook_wedge,behind_mario_tower,triomino2,triomino1,tower_box"
"Perfect wings "	"1150"	"t2_left_box_2,t2_left_wing,main_blunt_ramp,t2_right_wing,north_east_booster_platform"
"Yoshis rise to glory"	"1150"	"mini_ramp_spine,mini_ramp02,sriracha,long_ramp,triomino1,ski_sign"
"Sokas spawn return"	"1150"	"t_spawn,rear_spawn_ramp,main_ramp,main_ramp,t_spawn"
"Drop and Impossible Rise"	"1150"	"diddy_platform,fish_hook_wedge,awp_platform"
"Monkey Evolution"	"1150"	"telepad_derevo,telepad_t2_t1_ramp,telepad_jtct_ramp,side_spawn_ladder"
"Bangarang Boomerang"	"1150"	"pillar_floor,top_ramp,pillar_floor"
"Double lupkes"	"1175"	"jail_floor_02,main_ramp,sriracha,main_ramp,sriracha,t_spawn"
"Boggy rise to water"	"1175"	"mini_ramp_spine,mini_ramp02,sriracha,triomino2,t2_tower_water02"
"Legacy Trip"	"1175"	"ski_sign,main_drag,main_wings,right_wedge,long_ramp,w_bezdna_lower_ramp,rear_spawn_ramp,main_ramp,middle_wing,triomino2,triomino1,awp_ramp,main_drag,main_wings,middle_wing,triomino2,tower_base_water"
"Danhee v2"	"1200"	"bonus_platform,sriracha,long_ramp,triomino2,sriracha,jail_wall_02"
"Hard king banana return"	"1200"	"tower_platform,banana_ramp,long_ramp,banana_ramp,tower_platform"
"Hard sunrise"	"1200"	"jail_booster_tip,main_ramp,t2_left_wing,t2_right_wing,main_ramp,telepad,long_ramp,t2_tower_platform"
"Kairos blessing"	"1200"	"nlo_platform,kevin_ramp,fish_ramp,t2_tower_platform"
"Hentai return"	"1200"	"tower_platform,banana_ramp,banana_ramp,banana_hole,tower_platform"
"Anime return to box V2"	"1200"	"tower_top,banana_ramp,section_ramp,banana_ramp,banana_hole,tower_box1"
"Diddy return"	"1200"	"tower_top,banana_ramp,banana_ramp,banana_hole,diddy_platform"
"Pitbulls Euphoria V2"	"1200"	"t2_tower_platform,awp_ramp,fish_ramp,behind_t2_tower_wedge,fish_ramp,fish_hook_wedge,triomino1,t2_left_wing,ski_sign"
"LEONCHIK 20 BANOK"	"1200"	"mini_ramp_spine,mini_ramp02,t1_middle_hole,t1_middle_ramp_lower,rear_spawn_ramp,long_ramp,t2_right_hole"
"I wish i could fly"	"1200"	"t_spawn,main_ramp,main_ramp,behind_main_ramp_trigger,rear_spawn_ramp,w_bezdna_lower_ramp,t1_middle_hole"
"Titan slayer "	"1200"	"jail_floor_02,rear_spawn_ramp,middle_wing,t2_left_wing,awp_tower_tip"
"Endless Euphoria "	"1200"	"awp_platform,awp_ramp,fish_ramp,behind_t2_tower_wedge,fish_ramp,awp_ramp,t2_left_wing,ski_sign"
